,Unnamed: 0,UID,GID,Area,JobName,Partition,ReqNodes,ReqCPUS,Timelimit,Submit,Start,Elapsed,Priority,State,ExitCode
0,0,1420,88068,astrophys,Smilei0,tornado,70,1960,10-00:00:00,2021-08-11T16:53:04,2021-09-17T09:46:21,1-11:27:29,1,CANCELLED by 50260,0:0
1,1,52951,3414,phys,v149_td,tornado,2,56,14-00:00:00,2021-08-18T10:38:10,2021-08-18T10:46:12,14-00:00:38,1,TIMEOUT,0:0
2,2,24801,97723,mech,fluent,tornado,6,168,14-00:00:00,2021-08-18T14:50:05,2021-08-18T14:50:05,13-21:05:40,1,CANCELLED by 50341,0:0
3,3,24801,97723,mech,fluent,tornado,6,168,14-00:00:00,2021-08-18T14:52:31,2021-08-18T14:52:32,13-21:04:39,1,CANCELLED by 50341,0:0
4,4,70802,33028,energ,dcss.slurm,tornado-k40,1,1,14-00:00:00,2021-08-19T15:33:49,2021-08-19T15:33:50,14-00:00:04,1,TIMEOUT,0:0
5,5,24801,97723,mech,fluent,tornado,6,168,14-00:00:00,2021-08-19T16:48:37,2021-08-19T17:19:56,12-18:45:00,1,CANCELLED by 50341,0:0
6,6,24801,97723,mech,fluent,tornado,6,168,14-00:00:00,2021-08-20T14:01:39,2021-08-20T15:25:28,11-21:38:22,1,CANCELLED by 50341,0:0
7,7,24801,97723,mech,fluent,tornado,6,168,14-00:00:00,2021-08-20T18:12:41,2021-08-20T18:12:41,11-18:52:43,1,CANCELLED by 50341,0:0
8,8,7072,62503,mach,sphere.slrm,tornado,1,1,12-00:00:00,2021-08-22T20:27:50,2021-08-22T22:38:20,11-02:24:32,1,COMPLETED,0:0
9,9,7072,62503,mach,sphere.slrm,tornado,1,1,14-00:00:00,2021-08-22T20:27:53,2021-08-22T22:38:51,11-02:24:02,1,COMPLETED,0:0
10,10,6799,22748,mech,espresso_t,tornado,1,1,14-00:00:00,2021-08-23T09:54:28,2021-08-23T09:54:29,12-02:19:27,1,COMPLETED,0:0
11,11,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T19:52:11,04:11:39,1,COMPLETED,0:0
12,12,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T19:52:52,04:15:26,1,COMPLETED,0:0
13,13,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:05:11,04:02:49,1,COMPLETED,0:0
14,14,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:05:11,03:59:32,1,COMPLETED,0:0
15,15,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:07:11,04:37:20,1,COMPLETED,0:0
16,16,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:11:11,04:26:43,1,COMPLETED,0:0
17,17,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:11:11,04:24:04,1,COMPLETED,0:0
18,18,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:15:31,04:26:56,1,COMPLETED,0:0
19,19,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:22:49,03:55:16,1,COMPLETED,0:0
20,20,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:24:53,03:57:22,1,COMPLETED,0:0
21,21,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:28:53,03:59:25,1,COMPLETED,0:0
22,22,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:31:53,03:50:26,1,COMPLETED,0:0
23,23,86601,79320,radiophys,las_batch,tornado,1,1,08:00:00,2021-08-23T09:57:32,2021-08-31T20:33:26,03:50:16,1,COMPLETED,0:0
